malgli	mal·gli	mabla glico	bloody + English	anglicism	$g_1=m_1$ is an anglicism (in Lojban), inappropriate according to $m_3$.
cmicu'a	cmi·cu'a	cmima cuxna	belong to + choose	vote	$cm_1=cu_1$ votes for $cu_2$ among choices $cu_3$ in voting group $cm_2$.
jbota'a	jbo·ta'a	lojbo tavla	Lojbanic + talk	talk in Lojban	$x_1$ talks/speaks in Lojban to $x_2$ about subject $x_3$
zi'evla	zi'e·vla	zifre valsi	free + word	free word	$v_1$ is a fu'ivla-form word meaning $v_2$ (in Lojban); $v_1$ is morphologically a fu'ivla.
cnima'o	cni·ma'o	cinmo cmavo	emotion + structure word	attitudinal	$v_1$ is an interjection/attitudinal meaning $v_2=c_1$ in language $v_3$.
zmanei	zma·nei	zmadu nelci	exceed + fond	like better	$n_1$ prefers $n_2=z_1$ over $z_2$, because of property/quantity $z_3$, by margin $z_4$.
selja'e	sel·ja'e	se jalge	2⇄1 + result	entail	$x_1$ (event) results in $x_2$ (event)
favgau	fav·gau	farvi gasnu	develop + bring about	develop	$g_1$ develops $f_1$ into $f_2$ from $f_3$ through stages $f_4$.
velcki	vel·cki	ve ciksi	4⇄1 + explain	definition	$x_{1}$ is an explanation of $x_{2}$ (event/state/property) to $x_{3}$ by $x_{4}$.
zvafa'i	zva·fa'i	zvati facki	at + discover	find	$x_1=facki_1$ finds/locates $x_2=zvati_1=facki_3$ (object) at $x_3=zvati_2$ (event/location)
jbosnu	jbo·snu	lojbo casnu	Lojbanic + converse		$c_1$ (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject $c_2$ in Lojban.
tolzdi	tol·zdi	to'e zdile	polar opposite + amusing	boring	$x_1$ is boring/dreary/wearisome/tedious to $x_2$ in property/aspect $x_3$.
rejgau	rej·gau	vreji gasnu	record + bring about	record	$g_1$ records / saves $r_2$ onto medium $r_4$.
rarbau	rar·bau	rarna bangu	natural + language	natural language	$b_1$ is a natural language spoken by community $b_2$ to express $b_3$.
ponbau	pon·bau	ponjo bangu	Japanese + language	Japanese	$p_1=b_1$ is the Japanese language used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).
samselpla	sam·sel·pla	skami se platu	computer + 2⇄1 + measure	computer program	$x_1=p_2$ is computer program source code created by $x_2=p_1$ with intended result (state/process) $x_3=p_3=s_2$ on computer $x_4=s_1$.
famyma'o	famy·ma'o	fanmo cmavo	end + structure word	terminator	$c_1$ is a terminator of class/part-of-speech $c_2$ in language $c_3$.
reisku	rei·sku	preti cusku	question + express	ask	$c_1=p_3$ asks question $c_2=p_1$ to $c_3=p_4$ via expressive medium $c_4$, about subject $p_2$.
prula'i	pru·la'i	purci lamji	past + adjacent	last	$p_1=l_1$ is preceding $p_2=l_2$ in sequence $l_3$.
fasybau	fasy·bau	fraso bangu	French + language	French	$f_1=b_1$ is the French language used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).
selsau	sel·sau	se slabu	2⇄1 + familiar	finds familiar	$x_1$ finds $x_2$ familiar in property $x_3$
zilkai	zil·kai	zi'o ckaji	nonexistent it + attribute	property	$x_1$ is a property
titnanba	tit·nanba	titla nanba	sweet + bread	cake	$n_1$ is a cake/cookie made from grains $n_2$.
mulgau	mul·gau	mulno gasnu	complete + bring about	complete	$g_1$ makes $m_1$ complete in property $m_2$ by standard $m_3$
gimkamsmikezypro	gim·kam·smi·kezy·pro	gismu ka simsa kei fapro	root word + lambda + similar + end abstraction + oppose	conflict	$x_1$  (word/quote; probably gismu) conflicts with $x_2$ (word/text; probably gismu) according to rules $x_3$
bavla'i	bav·la'i	balvi lamji	future + adjacent	following	$b_1=l_1$ is next after $b_2=l_2$ in sequence $l_3$.
mrobi'o	mro·bi'o	morsi binxo	dead + become	die	$b_1$ dies under conditions $b_3$.
xrukla	xru·kla	xruti klama	return + come	go back	$x_1=xr_1=xr_2=k_1$ returns to earlier location $x_2=xr_3=k_2$ from $x_3=xr_4=k_3$ via route $x_4=k_4$ using means/vehicle $x_5=k_5$.
naldra	nal·dra	na'e drani	scalar contrary + correct	incorrect	$x_1$ is incorrect/not right in property/aspect $x_2$ (ka) in situation $x_3$
smusku	smu·sku	smuni cusku	meaning + express	express	$x_1$ expresses meaning $x_2$ to addressee/audience $x_3$ by doing $x_4$ (property of $x_1$)
vlatai	vla·tai	valsi tarmi	word + shape	form of word	$t_1$ is the pattern/shape of word $v_1=t_2$ with meaning $v_2$ in language $v_3$.
fircku	fir·cku	flira cukta	face + book		$x_1$ pertains to Facebook in aspect $x_2$.
xamsku	xam·sku	xajmi cusku	funny + express	tell	$x_1$ tells/expresses joke $x_2$ (sedu'u/text/lu'e concept) for audience $x_3$ via expressive medium $x_4$.
tersmu	ter·smu	te smuni	3⇄1 + meaning	perceive meaning	$x_1$ understands/interprets/perceives the meaning of utterance/message/communication/symbol $x_2$ as meaning $x_3$ (du'u)
peisku	pei·sku	pensi cusku	think + express	have thought	$p_1=c_1$ thinks thought $c_2=p_2$ (sedu'u/text/lu'e concept).
pagzu'e	pag·zu'e	pagbu zukte	part + act	participate	$x_1$ participates in $x_2$; $x_1$ takes part in $x_2$.
karsna	kar·sna	kalri sance	open + sound	vowel	$s_1$ is a vowel sound.
lerpoi	ler·poi	lerfu porsi	character + sequence	sequence of letterals	$p_1$ is a character string (sequence of letterals) in alphabet/character-set $l_2$ representing $l_3$
terbri	ter·bri	te bridi	3⇄1 + predicate	predicate arguments	$x_1$ (sequence of sumti) is the sequence of arguments that, joined by relation $x_2$ (ka), form predicate $x_3$ (du'u)
runbau	run·bau	rutni bangu	artifact + language	artificial language	$r_1=b_1$ is an artificial/constructed language used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).
vacysai	vacy·sai	vanci sanmi	evening + meal	dinner	$s_1$ (mass) is a dinner (evening meal), supper composed of dishes including $s_2$.
kibystu	kiby·stu	??? stuzi	??? + location	website	$x_1$ is a website, containing $x_2$
zipcpi	zip·cpi	dzipo cipni	Antarctican + bird	penguin	$x_1=dzipo_1=cipni_1$ is a penguin of species $x_2=cipni_2$.
nerkla	ner·kla	nenri klama	in + come	enter	$n_1=k_1$ enters $n_2=k_2$ from origin $k_3$ via route $k_4$ using means/vehicle $k_5$.
zukcfu	zuk·cfu	zukte ricfu	act + rich	busy	$r_1=z_1$ is busy doing $z_2$ for purpose/goal $z_3$.
pampe'o	pam·pe'o	prami pendo	love + friend	boyfriend	$pr_1$=$pe_1$ is a lover of $pr_2$=$pe_2$.
zunsna	zun·sna	zunti sance	interfere + sound	consonant	$z_1=s_1$ is a consonant sound with manner of articulation $x_2$, place of articulation $x_3$, and phonation $x_4$.
toldra	tol·dra	to'e drani	polar opposite + correct	wrong	$d_1$ is wrong in property/aspect $d_2$ (ka) in situation $d_3$ by standard $d_4$.
selma'o	sel·ma'o	se cmavo	2⇄1 + structure word	structure word class	$x_{1}$ is the class of structure word $x_{2}$, which means or has function $x_{3}$ in language $x_{4}$.
jbopli	jbo·pli	lojbo pilno	Lojbanic + use	Lojbanist	$l_1=p_1$ uses Lojban for purpose $p_3$; $l_1=p_1$ is a Lojbanist.
selpli	sel·pli	se pilno	2⇄1 + use	used	$x_1$ is used by $x_2$ for purpose $x_3$
jbonunsla	jbo·nun·sla	lojbo nu salci	Lojbanic + event abstract + celebrate	Logfest	$x_1=n_1$ is an event of $x_2=s_1$ recognizing/celebrating $x_3=s_2=l_1$, lojbanic in aspect $x_4=l_2$, with party/actions $x_5=s_3$; $x_1$ is Logfest with attendees/participants $x_2$.
tolcri	tol·cri	to'e cirko	polar opposite + lose	acquire	$x_1$ acquires property $x_2$ (ka).
selsmudu'i	sel·smu·du'i	se smuni dunli	2⇄1 + meaning + equal	synonym	$x_1$ is synonymous with / has the same meaning as $x_2$ for interpreter $x_3$; $x_1$ is a synonym of $x_2$
bregau	bre·gau	bredi gasnu	ready + bring about	prepare	$g_1$ prepares/readies $b_1$ for $b_2$.
jefyfa'o	jefy·fa'o	jeftu fanmo	week + end	weekend	$x_1$ is the weekend of week $x_2$
faumlu	fau·mlu	fasnu simlu	event + seem	seem	$x_1$ (event) seems to happen/take place to observer $x_2$
snavei	sna·vei	sance vreji	sound + record	record	$v_1$ is a sound recording of $v_2$ (data/facts/du'u) about $v_3$ on recording medium $v_4$.
mencre	men·cre	menli certu	mind + competent	apt	$c_1=m_2$ (person) is intelligent/smart by standard $c_3$.
zanfri	zan·fri	zabna lifri	favorable + experience	enjoy	$l_1=z_3$ enjoys $z_1=l_2$.
mibypre	miby·pre	mi prenu	I + people	I	$m_1=p_1$ is me.
selsmu	sel·smu	se smuni	2⇄1 + meaning	convey	$s_2$ means $s_1$ to interpreter $s_3$.
tolcanci	tol·canci	to'e canci	polar opposite + vanish	appear	$c_1$ materializes/suddenly appears at location $c_2$ according to senses/sensor $c_3$.
cipyzu'e	cipy·zu'e	cipra zukte	test + act	try out	$x_1$ tests/tries out/checks/examines $x_2$ for property $x_3$
matmau	mat·mau	mapti zmadu	fit + exceed	more appropriate	$x_1$ is more appropriate than $x_2$ to $x_3$ in property $x_4$
piksku	pik·sku	pinka cusku	comment + express	comment	$c_1=p_3$ (agent) comments/remarks on/observes $c_2=p_1$ about subject $x_3=p_2$ to audience $x_4=c_3=p_4$ via expressive medium $x_5=c_5$.
selpau	sel·pau	se pagbu	2⇄1 + part	consist of	$x_1$ has part/consists of $x_2$
muvgau	muv·gau	muvdu gasnu	move + bring about	move	$g_1$ moves $m_1$ to destination $m_2$ from origin $m_3$ over path/route $m_4$.
lojbau	loj·bau	logji bangu	logic + language	logical language	$b_1$ is the loglan/Loglan/logic language used by community $b_2$ to express ideas $b_3$.
ckupau	cku·pau	cukta pagbu	book + part	book chapter	$p_1$ is a chapter of book $c_1=p_2$.
dragau	dra·gau	drani gasnu	correct + bring about	correct	$g_1$ (person/agent) corrects $d_1$.
velsku	vel·sku	ve cusku	4⇄1 + express	expression medium	$x_1$ is the expression medium of expression $x_2$ addressed to audience $x_3$ by speaker $x_4$
jvajvo	jva·jvo	javni lujvo	rule + affix compound		$l_1$ is a regular/predictable lujvo (compound predicate word) with meaning $l_2$ and arguments $l_3$ built from phrase $l_4$ and having an argument structure according to rule $j_1$.
zilkancu	zil·kancu	zi'o kancu	nonexistent it + count	number	$x_1$ numbers/adds up to/consists of $x_2$ (number) counting by units $x_3$; $x_1$ are $x_2$ in number.
depybu'i	depy·bu'i	denpa bu	wait + word to lerfu	.	$x_1$ is a period/dot/full stop (character ���.���).
bankle	ban·kle	bangu klesi	language + category	dialect	$x_1$ is a dialect of language $x_2$
jetmlu	jet·mlu	jetnu simlu	true + seem	seem true	$x_1$ (du'u) seems true to $x_2$ by epistemology $x_3$
nunpe'i	nun·pe'i	nu penmi	event abstract + meet	meeting	$x_1$ is a meeting between $x_2$ and $x_3$ at/in location $x_4$.
lercu'aca'a	ler·cu'a·ca'a	lerfu cuxna cabra	character + choose + apparatus	computer keyboard	$ca_1$ is a keyboard for entering letters/symbols $l_1=cu_2$.
jbofi'e	jbo·fi'e	lojbo finpe	Lojbanic + fish	Jbofihe	$l_1$ is Jbofihe.
vlakra	vla·kra	valsi krasi	word + origin	etymology	$x_1$ is an etymology of word $x_2$ meaning $x_3$ in language $x_4$
nunctu	nun·ctu	nu ctuca	event abstract + teach	lesson	$x_1$ (nu) is an event in which $x_2$ teaches $x_3$ facts $x_4$ (du'u) about $x_5$ by means $x_6$; $x_1$ is a lesson given by $x_2$ to $x_3$.
tcetce	tce·tce	mutce mutce	extreme + extreme	extreme	$m_1$ is very much/very extreme in property $m_2$ (ka), towards $m_3$ extreme/direction.
tcizbaga	tci·zbaga	tutci ???	instrument + ???	cheeseburger	$x_1$ is a cheeseburger
samtci	sam·tci	skami tutci	computer + instrument	application	$t_1$ is a computer program / tool / application for purpose $t_2=s_2$ on computer(s) including $s_1$.
jbosarxe	jbo·sarxe	lojbo sarxe	Lojbanic + harmonious	Lojbanic	$x_1$ is harmonious with Lojbanic philosophy/thought/culture in aspect $x_2$ (ka); $x_1$ is Lojbanic/Lojban-like (one sense)
xavdei	xav·dei	xa djedi	6 + full day	saturday	$x_1$ is a Saturday of week $x_2$ in calendar $x_3$.
jbope'o	jbo·pe'o	lojbo pendo	Lojbanic + friend	Lojbanic friend	$p_1$ is/acts as a friend to/of $p_2$ in the context of their shared interest in $j_1$ which reflects [Loglandic]/Lojbanic language/culture/nationality/community in aspect $j_2$
najnimre	naj·nimre	narju nimre	orange + citrus	orange	$x_1$ is an orange of variety $x_2$.
tolcando	tol·cando	to'e cando	polar opposite + idle	active	$c_1$ is busy.
samcmu	sam·cmu	skami jicmu	computer + basic	operating system	$x_1=j_1$ is an operating system for computer $x_2=j_2=s_1$.
mergu'e	mer·gu'e	merko gugde	American + country	America	$m_1=g_1$ is the United States of America.
crezenzu'e	cre·zen·zu'e	certu zenba zukte	competent + increase + act	exercise	$x_1$ practices/exercises/drills/trains in/for action/event/performance $x_2$.
zeldei	zel·dei	ze djedi	7 + full day	sunday	$x_1$ is a Sunday of week $x_2$ in calendar $x_3$.
xagrai	xag·rai	xamgu traji	beneficial + best	best	$t_1=x_1$ is the best among set/range $t_4$ for $x_2$ by standard $x_3$.
genturfa'i	gen·tur·fa'i	gerna stura facki	grammar + structure + discover	parse	$x_1=f_1$ parses text $x_2=g_3=f_3$ according to formal grammar $x_3=g_1$.
pavyseljirna	pavy·sel·jirna	pa se jirna	1 + 2⇄1 + horn	unicorn	$x_1$ is a unicorn.
tolju'i	tol·ju'i	to'e jundi	polar opposite + attend	avoid	$x_1$ avoids/ignores/directs attention away from object/affair $x_2$.
baupli	bau·pli	bangu pilno	language + use	say	$x_1$ uses language $x_2$ for purpose $x_3$.
selcmi	sel·cmi	se cmima	2⇄1 + belong to	set	$x_1$ is the set whose members are $x_2$; $x_2$ are the members of $x_1$.
bramau	bra·mau	barda zmadu	big + exceed	bigger	$z_1$ is bigger than $z_2$ in dimension $b_2$ by margin $z_4$.
balcu'e	bal·cu'e	banli ckule	great + school	university	$c_1$ is a university at $c_2$ teaching subject(s) $c_3$ to audience/community $c_4$ operated by $c_5$.
vlapoi	vla·poi	valsi porsi	word + sequence	sequence of words	$x_1$ is a text, a sequence of words
zi'ejvo	zi'e·jvo	zifre lujvo	free + affix compound	irregular lujvo	$x_1$ is a lujvo with irregular rafsi, meaning $x_2$, with arguments $x_3$, built from tanru/compound-phrase $x_4$
kelka'u	kel·ka'u	kelci kantu	play + quantum	move	$x_1$ is a turn/move by player $x_2$ in game $x_3$.
sperybau	spery·bau	spero bangu	Esperanto + language	Esperanto	$x_1$ is Esperanto language spoken by $x_2$
zilcmi	zil·cmi	zi'o cmima	nonexistent it + belong to	set	$x_1$ is a set.
smuvanbi	smu·vanbi	smuni vanbi	meaning + environment	context	$v_1$ is the context of meaning $v_2=s_1$ of event/action/object $s_2$ recognized by $s_3$.
mutpapri	mut·papri	mucti papri	immaterial + page	web page	$p_1=m_1$ is a web page containing hyperlinks in website / collection of hyperlinking documents $p_2$.
tcepru	tce·pru	mutce purci	extreme + past	ancient	$x_1$ (object/thing) is ancient.
selcme	sel·cme	se cmene	2⇄1 + name	called	$x_1$ is named/called $x_2$ by namer/name-user $x_3$ (person).
smuvelski	smu·vel·ski	smuni ve skicu	meaning + 4⇄1 + describe	meaning description	$x_1$ is a description of $x_2$'s meaning
rolrafcre	rol·raf·cre	ro rafsi certu	each + affix + competent		$x_1$ knows all the rafsi/morphemes of language $x_2$
kibycpa	kiby·cpa	??? cpacu	??? + get	download	$c_1$ downloads $c_2$ from $c_3=k_1$.
nuncasnu	nun·casnu	nu casnu	event abstract + converse	conversation	$n_1$ is a conversation involving $c_1$(s)  (mass normally, but 1 individual/jo'u possible) about topic/subject $c_2$.
nelrai	nel·rai	nelci traji	fond + best	best	$n_1$ is most fond of $n_2=t_1$ (object/state) from set $t_4$, due to extreme $t_3$ (ka; default ka zmadu).
memkai	mem·kai	mei ckaji	cardinal selbri + attribute	cardinal count	$x_1$ is/are $x_2$ (li) in number, and are among $x_3$
zvajbi	zva·jbi	zvati jibni	at + near	near	$x_1$ is located nearby from $x_2$.
cipcta	cip·cta	cipra catlu	test + look	check	$x_1$ checks/investigates/examines/inspects $x_2$ for property $x_3$.
djisku	dji·sku	djica cusku	desire + express	express wish	$x_1$ expresses/says that they desire $x_2$ (nu/ka) to audience $x_3$ in medium $x_4$, desired for purpose $x_5$
xalbebna	xal·bebna	xalka bebna	alcohol + foolish	drunk	$x_1$ is drunk/tipsy in manner $x_2$ from drinking $x_3$ (alcohol).
kinpau	kin·pau	skina pagbu	cinema + part	episode	$x_1$ is an episode of movie/television series $x_2$
terjonma'o	ter·jon·ma'o	te jorne cmavo	3⇄1 + joined + structure word	conjunction	$x_1$ is a connective/conjunction of grammatical class $x_2$ for joining $x_3$ and $x_4$ in language $x_5$.
cikybi'o	ciky·bi'o	cikna binxo	awake + become	awaken	$b_1=c_1$ awakens/becomes awake under conditions $b_3$.
zu'edji	zu'e·dji	zukte djica	act + desire	intend	$z_{1}=d_1$ intends/wishes to do $z_{2}=d_2$ for $z_{3}=d_3$.
kansi'u	kan·si'u	kansa simxu	with + mutual	together	$x_1$ do $x_2$ together.
nunsla	nun·sla	nu salci	event abstract + celebrate	celebration	$n_1$ is the celebration/event where $s_1$ celebrates/recognizes/honors $s_2$ (event/abstract) with activity/[party] $s_3$.
capyju'i	capy·ju'i	ckape jundi	peril + attend	careful	$j_1$ is careful of $j_2=c_1$, which is dangerous to $c_2$ under conditions $c_3$
gunrivzu'e	gun·riv·zu'e	gunka rivbi zukte	work + avoid + act	procrastinate	$x_1=z_1=r_1=g_1$ procrastinates/avoids doing work $x_2=r_2=g_2$ (ka), instead doing $x_3=r_3$ (ka).
rapcreze'a	rap·cre·ze'a	rapli certu zenba	repeat + competent + increase	learn	$z_1=c_1$ (experiencer) increases in skill / expertise at $z_2=c_2$ by amount $z_3$ by means of repeating action $r_1$ $r_2$ times.
comco'e	com·co'e	co'e co'e	do + do		$x_1$ is a thingamajig / thing which the speaker can't put a predicate upon
kibyse'u	kiby·se'u	??? selfu	??? + serve		$x_1=k_1=s_1$ is a server on the Internet for a client $x_2=k_1=s_2$ of service $x_3=s_3$.
sofybakni	sofy·bakni	softo bakni	Soviet + bovine		$x_1=b_1=s_1$ is a Soviet cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed $x_2=b_2$ and reflecting USSR/ex-USSR [Soviet] culture/nationality in aspect $x_3=s_2$.
dotybau	doty·bau	dotco bangu	German + language	German	$d_1=b_1$ is the German used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).
terve'u	ter·ve'u	te vecnu	3⇄1 + sell	buy	$x_1$ is a buyer purchasing goods $x_2$ from seller $x_3$ for amount/cost/expense $x_4$.
nunjmaji	nun·jmaji	nu jmaji	event abstract + gather	gathering	$x_1$ is a gathering/meeting/assembly/conclave/conference/ congregation/congress/convention/encounter/get-together/reunion of participants $x_2$ at location $x_3$ from locations $x_4$.
samymri	samy·mri	skami mrilu	computer + mail	e-mailer	$m_1$ (agent) sends e-mail $m_2$ to person / computer $m_3$ from person / computer $m_4$ by computer network $m_5$.
vrogai	vro·gai	vorme gacri	door + cover	door	$g_1$ is a door/gate (movable barrier) in portal/doorway (opening) $v_1=g_2$ between $v_2$ and $v_3$, in structure $v_4$.
trajynei	trajy·nei	trajije nelci	least and actually is + fond	favorite	$x_1$ likes $x_2$ from among $x_3$ the most; $x_2$ is $x_1$'s favorite/favourite $x_3$.
dotygu'e	doty·gu'e	dotco gugde	German + country	Germany	$g_1$ is Germany.
filmau	fil·mau	frili zmadu	easy + exceed	easier	$z_1=f_1$ (action) is easier than $z_2$ (action) for $x_3=f_2$ (agent) by amount $z_4$ under conditions $x_5=f_3$.
cmibi'o	cmi·bi'o	cmima binxo	belong to + become	join	$b_1=c_1$ becomes a member of group $b_2=c_2$ under conditions $b_3$.
sumka'i	sum·ka'i	sumti krati	argument + represent	pronoun	$x_1$ is a pro-sumti/pronoun representing $x_2$ as argument of predicate/function $x_3$ filling place $x_4$.
damva'u	dam·va'u	danmo vasxu	smoke + breathe	smoke	$v_1$ smokes/inhales $v_2$. $v_1$ is a smoker.
tolcfa	tol·cfa	to'e cfari	polar opposite + happen	cease	$c_1$ [state/event/process] concludes/ceases/stops/ends its occurrence.
datnyvei	datny·vei	datnyveimei vreji	folder + record	file	$x_1=v_1$ is a file consisting of information $x_2=d_1=v_2$ about $x_3=d_2=v_3$ in medium $x_4=v_4$.
pavmei	pav·mei	pa mei	1 + cardinal selbri	singular	$m_1$ is singular.
xauzma	xau·zma	xamgu zmadu	beneficial + exceed	better	$xa_1=z_1$ is better than $z_2$ for $xa_2$ by standard $xa_3$, by amount $z_4$.
snaveitci	sna·vei·tci	sance vreji tutci	sound + record + instrument	microphone	$t_1$ is a microphone for recording sound $s_1$ produced/emitted by $s_2$.
sitsku	sit·sku	sitna cusku	cite + express	cite	$c_1=s_1$ cites/quotes $c_2=s_3$ (sedu'u/text/lu'e concept) to audience $c_3$ via expressive medium $c_4$ from source $_s2$.
zanfu'a	zan·fu'a	zabna funca	favorable + luck	favourable	$f_1=z_2$ (event/property) is determined by the good luck/fortune of $f_2$; $x_1$ is a case of serendipity
samselkei	sam·sel·kei	skami se kelci	computer + 2⇄1 + play	computer game	$x_1$ is a video game / computer game.
nunji'e	nun·ji'e	nu jmive	event abstract + live	life	$n_1$ is the life (event or process of living) of $j_1$.
kibypapri	kiby·papri	??? papri	??? + page	web page	$p_1$ is a web page of site $p_2=k_1$.
