Front	Gloss	Selmaho	Definition	Etymology	Example_1	Example_2	Related	Rafsi
gotro	1E24	gismu	x<sub>1</sub> is 10^{24} of x<sub>2</sub> in dimension/aspect x<sub>3</sub> <span class="word-kind">(default is units)</font>.		<span class="example-jbo">le terdi cu gotro le grake be li ji'i pa ki'o boi le ka tilju</span> - <span class="example-eng">The mass of the Earth is approximately 6000 Yottagram.</span>		<span class="lojban-word">centi</span> (<span class="gloss">.01</span>)	<span class="rafsi">got</span>/<span class="rafsi">gotr</span>
rirxe	river	gismu	x<sub>1</sub> is a river of land mass x<sub>2</sub>, draining watershed x<sub>3</sub> into x<sub>4</sub>/terminating at x<sub>4</sub>.	<span class="etymology-item"><span class="etymology-source-word">naxar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rivr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ri</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nadi</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rika</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xe</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti rirxe pa sudga tumla le vifne poi flu'ente le xamsi le krasi pe le cmana le condi</span> - <span class="example-eng">This is a river in a dry land running its fresh waters in a deep river bed towards the sea from springheads in the mountains.</span>		<span class="lojban-word">flu'ente</span>, <span class="lojban-word">naxle</span> (<span class="gloss">canal</span>), <span class="lojban-word">senta</span> (<span class="gloss">layer</span>), <span class="lojban-word">daplu</span> (<span class="gloss">island</span>), <span class="lojban-word">djacu</span> (<span class="gloss">water</span>), <span class="lojban-word">lalxu</span> (<span class="gloss">lake</span>), <span class="lojban-word">xamsi</span> (<span class="gloss">sea</span>), <span class="lojban-word">rinci</span> (<span class="gloss">drain</span>)	<span class="rafsi">ri'e</span>/<span class="rafsi">rirx</span>
zarci	market	gismu	x<sub>1</sub> is a market/store/exchange/shop<span class="word-kind">(s)</font> selling/trading <span class="word-kind">(for)</font> x<sub>2</sub>, operated by/with participants x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">suk</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bazar</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bazar</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bazar</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bazar</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ci</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u zarci be le rectu de'i li cy vo co'u akti</span> - <span class="example-eng">The butchery closes at 4 o'clock.</span>		<span class="lojban-word">vecnu</span> (<span class="gloss">sell</span>), <span class="lojban-word">canja</span> (<span class="gloss">exchange</span>), <span class="lojban-word">dinju</span> (<span class="gloss">building</span>), <span class="lojban-word">banxa</span> (<span class="gloss">bank</span>)	<span class="rafsi">zac</span>/<span class="rafsi">zai</span>/<span class="rafsi">zarc</span>
tanbo	board	gismu	x<sub>1</sub> is a board/plank [3-dimensional long flat rectangle] of material x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">laux</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bord</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tabl</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">takt</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">daska</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ban</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ne'a le tanbo pu sanli fa pa nixli noi le flira zo'u darsi cisma</span> - <span class="example-eng">A girl with a cheeky smile on her face was standing at the blackboard.</span>		<span class="lojban-word">bliku</span> (<span class="gloss">block</span>), <span class="lojban-word">kubli</span> (<span class="gloss">cube</span>)	<span class="rafsi">ta'o</span>/<span class="rafsi">tanb</span>
zutse	sit	gismu	x<sub>1</sub> sits [assumes sitting position] on surface x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">jalas</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sit</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sent</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bait</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sadits</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">zue</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">e'a do zutse le stizu</span> - <span class="example-eng">You may sit down on the chair.</span>		<span class="lojban-word">stizu</span> (<span class="gloss">chair</span>), <span class="lojban-word">cpana</span> (<span class="gloss">upon</span>), <span class="lojban-word">vreta</span> (<span class="gloss">reclining</span>)	<span class="rafsi">zut</span>/<span class="rafsi">tse</span>/<span class="rafsi">zuts</span>
tcena	extend	gismu	x<sub>1</sub> stretches/extends to range x<sub>2</sub> [interval/extent] in dimension x<sub>3</sub> from relaxed range x<sub>4</sub>.	<span class="etymology-item"><span class="etymology-source-word">mada</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ikstend</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ekstend</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tana</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rastiagiv</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cen</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le bratu carvi cu tcena fo ti fe le drata gugde le vlile</span> - <span class="example-eng">The violent hail spreads from here to another country.</span>		<span class="lojban-word">kuspe</span> (<span class="gloss">range</span>), <span class="lojban-word">pruni</span> (<span class="gloss">elastic</span>), <span class="lojban-word">preja</span> (<span class="gloss">spread</span>), <span class="lojban-word">ranji</span> (<span class="gloss">continue</span>), <span class="lojban-word">trati</span> (<span class="gloss">taut</span>)	<span class="rafsi">ten</span>/<span class="rafsi">tcen</span>
satci	exact	gismu	x<sub>1</sub> [measurement/match] is exact/precise to precision x<sub>2</sub> in property/quantity x<sub>3</sub> <span class="word-kind">(ka/ni)</font>.	<span class="etymology-item"><span class="etymology-source-word">saxix</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">prisais</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">eksakt</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">satik</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">toc</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cuecie</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u jubme cu satci rau da le ka mitre li re le ka clani</span> - <span class="example-eng">The table is exactly two meters long.</span>	<span class="example-jbo">le mi'u jubme cu satci le mitre be li pi no pa rau da le ka mitre li re le ka clani</span> - <span class="example-eng">The table is two meters long within an error of 0.01 meters.</span>	<span class="lojban-word">sarxe</span> (<span class="gloss">harmonious</span>), <span class="lojban-word">dunli</span> (<span class="gloss">equal</span>), <span class="lojban-word">merli</span> (<span class="gloss">measure</span>), <span class="lojban-word">mapti</span> (<span class="gloss">fit</span>), <span class="lojban-word">kancu</span> (<span class="gloss">count</span>), <span class="lojban-word">mintu</span> (<span class="gloss">same</span>)	<span class="rafsi">satc</span>
stidi	propose	gismu	x<sub>1</sub> <span class="word-kind">(agent)</font> suggests/proposes idea/action x<sub>2</sub> to audience x<sub>3</sub>; x<sub>1</sub> <span class="word-kind">(event)</font> inspires x<sub>2</sub> in/among x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">ikiarax</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sagjest</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">indik</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">prastav</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pridlag</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tiii</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">da'i do stidi tu'a ma noi gusta</span> - <span class="example-eng">What restaurant would you recommend?</span>	<span class="example-jbo">le se stidi be le mi'u fetsi pu du le nu daspo le mi'u dinju</span> - <span class="example-eng">Her proposal was to destroy the building.</span>	<span class="lojban-word">tcica</span> (<span class="gloss">deceive</span>), <span class="lojban-word">xlura</span> (<span class="gloss">influence</span>)	<span class="rafsi">sid</span>/<span class="rafsi">ti'i</span>/<span class="rafsi">stid</span>
smaji	quiet	gismu	x<sub>1</sub> <span class="word-kind">(source)</font> is quiet/silent/[still] at observation point x<sub>2</sub> by standard x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">sakin</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sailnt</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kaiad</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">maun</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">malc</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ji</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">e'o do smaji</span> - <span class="example-eng">Please, be quiet.</span>	<span class="example-jbo">le mi'u xamsi cu simlu le ka smaji ti</span> - <span class="example-eng">The sea looks quiet in sound from here.</span>	<span class="lojban-word">kerlo</span> (<span class="gloss">ear</span>), <span class="lojban-word">panpi</span> (<span class="gloss">peace</span>), <span class="lojban-word">savru</span> (<span class="gloss">noise</span>), <span class="lojban-word">tirna</span> (<span class="gloss">hear</span>)	<span class="rafsi">sma</span>/<span class="rafsi">smaj</span>
pijne	pin	gismu	x<sub>1</sub> is a pin/peg <span class="word-kind">(needle-shaped tool)</font> for fastening to/piercing x<sub>2</sub>, of material/properties x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">dabus</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pin</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">alfiler</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">alpin</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bulafk</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">biejen</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ko dunda fi mi fe pa pijne be le pelji</span> - <span class="example-eng">Give me a pin for fastening paper.</span>		<span class="lojban-word">jesni</span> (<span class="gloss">needle</span>), <span class="lojban-word">nivji</span> (<span class="gloss">knit</span>), <span class="lojban-word">fenso</span> (<span class="gloss">sew</span>), <span class="lojban-word">dinko</span> (<span class="gloss">nail</span>), <span class="lojban-word">tutci</span> (<span class="gloss">instrument</span>)	<span class="rafsi">pijn</span>
nakni	male	gismu	x<sub>1</sub> is a male/buck of species x<sub>2</sub> evidencing masculine physical/biological/genetic trait<span class="word-kind">(s)</font> x<sub>3</sub> <span class="word-kind">(ka)</font>; x<sub>1</sub> is masculine.	<span class="etymology-item"><span class="etymology-source-word">dakar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">maskialin</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">maskulin</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nar</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mucsk</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nan</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti nakni le mlatu le ka se nakpinji</span> - <span class="example-eng">This is a male cat since it has a penis.</span>		<span class="lojban-word">fetsi</span> (<span class="gloss">female</span>), <span class="lojban-word">bersa</span> (<span class="gloss">son</span>)	<span class="rafsi">nak</span>/<span class="rafsi">nakn</span>
zunle	left	gismu	x<sub>1</sub> is to the left/left-hand side of x<sub>2</sub> which faces/in-frame-of-reference x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">iasar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">left</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">izkier</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">baian</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">naliev</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">zue</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u dinju cu zunle le mi'u rokci ti</span> - <span class="example-eng">The house is to the left of the rock if viewed from here.</span>		<span class="lojban-word">zu'a</span>, <span class="lojban-word">pritu</span> (<span class="gloss">right</span>), <span class="lojban-word">mlana</span> (<span class="gloss">side</span>), <span class="lojban-word">crane</span> (<span class="gloss">front</span>), <span class="lojban-word">trixe</span> (<span class="gloss">back</span>), <span class="lojban-word">farna</span> (<span class="gloss">direction</span>)	<span class="rafsi">zul</span>/<span class="rafsi">zunl</span>
tivni	television	gismu	x<sub>1</sub> broadcasts/televises programming x<sub>2</sub> via medium/channel x<sub>3</sub> to television receiver x<sub>4</sub>.	<span class="etymology-item"><span class="etymology-source-word">tilfaz</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tivi</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">television</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">telivijan</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tilividen</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dianci</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti ca'o tivni pa skina la internet le skami pe le zdani be mi</span> - <span class="example-eng">This camera is streaming video via the internet to my home computer.</span>		<span class="lojban-word">cradi</span> (<span class="gloss">radio</span>), <span class="lojban-word">skina</span> (<span class="gloss">cinema</span>), <span class="lojban-word">vidni</span> (<span class="gloss">video</span>), <span class="lojban-word">benji</span> (<span class="gloss">send</span>), <span class="lojban-word">tcana</span> (<span class="gloss">station</span>)	<span class="rafsi">tiv</span>/<span class="rafsi">tivn</span>
